index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,date,deaths_1m_pop,total_tests,tests_1m_pop
0,China,80928,0,3245,0,70420,7263,2274,56,2020-03-19,,,
1,Italy,41035,5322,3405,427,4440,33190,2498,679,2020-03-19,,,
2,Iran,18407,1046,1284,149,5979,11144,0,219,2020-03-19,,,
3,Spain,18077,3308,831,193,1107,16139,939,387,2020-03-19,,,
4,Germany,15320,2993,44,16,115,15161,2,183,2020-03-19,,,
5,USA,13801,4542,207,57,108,13486,64,42,2020-03-19,,,
6,France,10995,1861,372,108,1295,9328,1122,168,2020-03-19,,,
7,S. Korea,8565,152,91,7,1947,6527,59,167,2020-03-19,,,
8,Switzerland,4222,1107,43,10,15,4164,0,488,2020-03-19,,,
9,UK,3269,643,144,40,65,3060,20,48,2020-03-19,,,
10,Netherlands,2460,409,76,18,2,2382,45,144,2020-03-19,,,
11,Austria,2179,533,6,2,9,2164,13,242,2020-03-19,,,
12,Belgium,1795,309,21,7,165,1609,130,155,2020-03-19,,,
13,Norway,1790,199,7,1,1,1782,27,330,2020-03-19,,,
14,Sweden,1439,138,11,1,16,1412,21,142,2020-03-19,,,
15,Denmark,1151,94,6,2,1,1144,30,199,2020-03-19,,,
16,Japan,943,29,33,4,191,719,46,7,2020-03-19,,,
17,Malaysia,900,110,2,0,75,823,15,28,2020-03-19,,,
18,Canada,873,146,12,3,11,850,1,23,2020-03-19,,,
19,Portugal,786,144,4,2,4,778,20,77,2020-03-19,,,
20,Australia,756,160,6,0,46,704,1,30,2020-03-19,,,
21,Diamond Princess,712,0,7,0,527,178,14,0,2020-03-19,,,
22,Czechia,694,172,0,0,3,691,6,65,2020-03-19,,,
23,Israel,677,244,0,0,14,663,6,78,2020-03-19,,,
24,Brazil,635,106,7,3,2,626,18,3,2020-03-19,,,
25,Ireland,557,191,3,1,5,549,6,113,2020-03-19,,,
26,Greece,464,46,6,1,19,439,16,45,2020-03-19,,,
27,Qatar,460,8,0,0,10,450,6,160,2020-03-19,,,
28,Pakistan,454,147,2,0,13,439,0,2,2020-03-19,,,
29,Finland,400,41,0,0,10,390,2,72,2020-03-19,,,
30,Turkey,359,168,4,2,0,355,0,4,2020-03-19,,,
31,Poland,355,68,5,0,13,337,3,9,2020-03-19,,,
32,Singapore,345,32,0,0,124,221,14,59,2020-03-19,,,
33,Chile,342,104,0,0,0,342,6,18,2020-03-19,,,
34,Luxembourg,335,132,4,2,6,325,1,535,2020-03-19,,,
35,Iceland,330,80,0,0,5,325,1,967,2020-03-19,,,
36,Slovenia,319,33,1,0,0,318,6,153,2020-03-19,,,
37,Indonesia,308,81,25,6,15,268,0,1,2020-03-19,,,
38,Bahrain,278,22,1,0,110,167,4,163,2020-03-19,,,
39,Romania,277,17,0,0,25,252,5,14,2020-03-19,,,
40,Saudi Arabia,274,36,0,0,8,266,0,8,2020-03-19,,,
41,Thailand,272,60,1,0,42,229,1,4,2020-03-19,,,
42,Estonia,267,9,0,0,1,266,1,201,2020-03-19,,,
43,Ecuador,260,92,3,0,1,256,2,15,2020-03-19,,,
44,Egypt,256,46,7,1,42,207,0,3,2020-03-19,,,
45,Peru,234,89,1,1,1,232,7,7,2020-03-19,,,
46,Philippines,217,15,17,0,8,192,1,2,2020-03-19,,,
47,Hong Kong,208,15,4,0,98,106,4,28,2020-03-19,,,
48,Russia,199,52,1,1,8,190,0,1,2020-03-19,,,
49,India,194,25,4,1,20,170,0,1,2020-03-19,,,
50,Iraq,192,28,13,1,49,130,0,5,2020-03-19,,,
51,Lebanon,157,24,4,0,4,149,3,23,2020-03-19,,,
52,South Africa,150,34,0,0,0,150,0,3,2020-03-19,,,
53,Kuwait,148,6,0,0,18,130,5,35,2020-03-19,,,
54,San Marino,144,4,14,0,4,126,12,4244,2020-03-19,,,
55,UAE,140,27,0,0,31,109,2,14,2020-03-19,,,
56,Slovakia,124,19,0,0,0,124,2,23,2020-03-19,,,
57,Armenia,122,12,0,0,1,121,2,41,2020-03-19,,,
58,Mexico,118,25,1,1,4,113,1,9,2020-03-19,,,
59,Argentina,111,14,3,1,3,105,0,2,2020-03-19,,,
60,Croatia,110,21,1,1,5,104,0,27,2020-03-19,,,
61,Panama,109,0,1,0,0,108,7,25,2020-03-19,,,
62,Taiwan,108,8,1,0,26,81,0,5,2020-03-19,,,
63,Colombia,108,15,0,0,1,107,0,2,2020-03-19,,,
64,Bulgaria,107,15,3,1,0,104,0,15,2020-03-19,,,
65,Serbia,103,14,0,0,1,102,4,12,2020-03-19,,,
66,Algeria,90,15,9,2,32,49,0,2,2020-03-19,,,
67,Costa Rica,87,18,1,0,0,86,2,17,2020-03-19,,,
68,Latvia,86,15,0,0,1,85,0,46,2020-03-19,,,
69,Vietnam,85,9,0,0,16,69,0,9,2020-03-19,,,
70,Uruguay,79,0,0,0,0,79,0,23,2020-03-19,,,
71,Andorra,74,21,0,0,1,73,0,958,2020-03-19,,,
72,Hungary,73,15,1,0,2,70,4,8,2020-03-19,,,
73,Brunei,73,5,0,0,0,73,2,167,2020-03-19,,,
74,Faeroe Islands,72,14,0,0,1,71,0,1474,2020-03-19,,,
75,Jordan,69,13,0,0,1,68,0,7,2020-03-19,,,
76,Cyprus,67,9,0,0,0,67,1,55,2020-03-19,,,
77,Albania,64,5,2,0,0,62,2,22,2020-03-19,,,
78,Bosnia and Herzegovina,64,25,0,0,2,62,0,20,2020-03-19,,,
79,Morocco,63,9,2,0,2,59,1,2,2020-03-19,,,
80,Sri Lanka,60,9,0,0,3,57,0,3,2020-03-19,,,
81,Malta,53,5,0,0,2,51,0,120,2020-03-19,,,
82,Belarus,51,0,0,0,5,46,0,5,2020-03-19,,,
83,North Macedonia,50,7,0,0,1,49,1,24,2020-03-19,,,
84,Moldova,49,13,1,0,1,47,3,12,2020-03-19,,,
85,Lithuania,48,14,0,0,1,47,1,18,2020-03-19,,,
86,Oman,48,9,0,0,13,35,0,9,2020-03-19,,,
87,Palestine,47,3,0,0,0,47,0,9,2020-03-19,,,
88,Kazakhstan,44,8,3,3,0,41,0,2,2020-03-19,,,
89,Azerbaijan,44,10,1,0,7,36,0,4,2020-03-19,,,
90,Venezuela,42,6,0,0,0,42,0,1,2020-03-19,,,
91,Georgia,40,2,0,0,1,39,1,10,2020-03-19,,,
92,Tunisia,39,10,1,1,1,37,2,3,2020-03-19,,,
93,Cambodia,37,0,0,0,1,36,0,2,2020-03-19,,,
94,Senegal,36,0,0,0,2,34,0,2,2020-03-19,,,
95,Dominican Republic,34,0,2,0,0,32,0,3,2020-03-19,,,
96,Burkina Faso,33,6,1,0,0,32,0,2,2020-03-19,,,
97,Guadeloupe,33,0,0,0,0,33,0,82,2020-03-19,,,
98,New Zealand,28,8,0,0,0,28,0,6,2020-03-19,,,
99,Liechtenstein,28,0,0,0,0,28,0,734,2020-03-19,,,
100,Réunion,28,14,0,0,0,28,0,31,2020-03-19,,,
101,Ukraine,26,10,3,1,0,23,0,6,2020-03-19,,,
102,Martinique,23,0,1,0,0,22,0,61,2020-03-19,,,
103,Uzbekistan,23,5,0,0,0,23,0,7,2020-03-19,,,
104,Afghanistan,22,0,0,0,1,21,0,6,2020-03-19,,,
105,Bangladesh,18,4,1,0,3,14,0,1,2020-03-19,,,
106,Macao,17,0,0,0,10,7,0,26,2020-03-19,,,
107,Jamaica,15,0,1,0,2,12,0,5,2020-03-19,,,
108,Bolivia,15,3,0,0,0,15,0,1,2020-03-19,,,
109,French Guiana,15,0,0,0,0,15,0,50,2020-03-19,,,
110,DRC,14,7,0,0,0,14,0,2,2020-03-19,,,
111,Cameroon,13,0,0,0,0,13,0,5,2020-03-19,,,
112,Maldives,13,0,0,0,0,13,0,24,2020-03-19,,,
113,Montenegro,13,5,0,0,0,13,0,21,2020-03-19,,,
114,Nigeria,12,4,0,0,1,11,0,6,2020-03-19,,,
115,Guam,12,4,0,0,0,12,0,71,2020-03-19,,,
116,Honduras,12,3,0,0,0,12,0,1,2020-03-19,,,
117,Cuba,11,1,1,0,0,10,0,10,2020-03-19,,,
118,Channel Islands,11,4,0,0,0,11,0,63,2020-03-19,,,
119,Ghana,11,4,0,0,0,11,0,4,2020-03-19,,,
120,Paraguay,11,0,0,0,0,11,1,2,2020-03-19,,,
121,Rwanda,11,0,0,0,0,11,0,8,2020-03-19,,,
122,Monaco,10,1,0,0,0,10,0,255,2020-03-19,,,
123,Gibraltar,10,2,0,0,2,8,0,297,2020-03-19,,,
124,Guatemala,9,1,1,0,0,8,0,5,2020-03-19,,,
125,Ivory Coast,9,0,0,0,1,8,0,3,2020-03-19,,,
126,Trinidad and Tobago,9,2,0,0,0,9,0,6,2020-03-19,,,
127,Ethiopia,7,1,0,0,0,7,0,6,2020-03-19,,,
128,Kenya,7,0,0,0,0,7,0,1,2020-03-19,,,
129,Mauritius,7,4,0,0,0,7,0,6,2020-03-19,,,
130,Equatorial Guinea,6,2,0,0,0,6,0,4,2020-03-19,,,
131,French Polynesia,6,1,0,0,0,6,0,21,2020-03-19,,,
132,Mongolia,6,0,0,0,0,6,0,2,2020-03-19,,,
133,Puerto Rico,6,0,0,0,0,6,0,2,2020-03-19,,,
134,Seychelles,6,0,0,0,0,6,0,61,2020-03-19,,,
135,Tanzania,6,3,0,0,0,6,0,1,2020-03-19,,,
136,Guyana,5,1,1,0,0,4,0,6,2020-03-19,,,
137,Aruba,5,1,0,0,1,4,0,47,2020-03-19,,,
138,Barbados,5,3,0,0,0,5,0,17,2020-03-19,,,
139,Mayotte,4,1,0,0,0,4,0,15,2020-03-19,,,
140,Cayman Islands,3,2,1,0,0,2,0,46,2020-03-19,,,
141,Curaçao,3,0,1,1,0,2,0,18,2020-03-19,,,
142,Bahamas,3,2,0,0,0,3,0,8,2020-03-19,,,
143,Congo,3,2,0,0,0,3,0,5,2020-03-19,,,
144,Gabon,3,0,0,0,0,3,0,1,2020-03-19,,,
145,Kyrgyzstan,3,0,0,0,0,3,0,5,2020-03-19,,,
146,Namibia,3,1,0,0,0,3,0,1,2020-03-19,,,
147,St. Barth,3,0,0,0,0,3,0,304,2020-03-19,,,
148,Saint Martin,3,0,0,0,0,3,0,78,2020-03-19,,,
149,U.S. Virgin Islands,3,1,0,0,0,3,0,29,2020-03-19,,,
150,Sudan,2,0,1,0,0,1,0,5,2020-03-19,,,
151,Benin,2,0,0,0,0,2,0,2,2020-03-19,,,
152,Bermuda,2,0,0,0,0,2,0,32,2020-03-19,,,
153,Greenland,2,0,0,0,0,2,0,35,2020-03-19,,,
154,Liberia,2,0,0,0,0,2,0,4,2020-03-19,,,
155,Mauritania,2,0,0,0,0,2,0,4,2020-03-19,,,
156,New Caledonia,2,0,0,0,0,2,0,7,2020-03-19,,,
157,Saint Lucia,2,0,0,0,0,2,0,11,2020-03-19,,,
158,Zambia,2,0,0,0,0,2,0,1,2020-03-19,,,
159,Nepal,1,0,0,0,1,0,0,3,2020-03-19,,,
160,Antigua and Barbuda,1,0,0,0,0,1,0,10,2020-03-19,,,
